DSGS mitenand,DSGS mitenand manual,DSGS signer,SRF link,SRF title,LSF ensemble manual,LSF ensemble,LSF signer,RTS link,LSF SWISS TXT video file,RTS title,LIS insieme manual,LIS insieme,RSI link,RSI title,LIS signer
2022-01-06_flüchtlinge_–_lebensperspektive,2022-01-06_flüchtlinge_–_lebensperspektive,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/fluechtlinge---lebensperspektive-dank-familiennachzug?urn=urn:srf:video:e9360b96-74fc-4066-a1ce-28ca05e7c67f,Flüchtlinge – Lebensperspektive dank Familiennachzug,,,,,,,,,,,
2022-01-13_am_leben_teilnehmen,2022-01-13_am_leben_teilnehmen,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/am-leben-teilnehmen---trotz-schwerer-krankheit?urn=urn:srf:video:c476387b-4f0d-4a42-8774-ccb5d8c91ec8,Am Leben teilnehmen – trotz schwerer Krankheit,,,,,,,,,,,
2022-01-20_unterstützung_bei_der,2022-01-20_unterstützung_bei_der,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/unterstuetzung-bei-der-beruflichen-entwicklung?urn=urn:srf:video:609a8b37-4831-40a1-84e1-b5189169aedd,Unterstützung bei der beruflichen Entwicklung,2022-01-01_2204_chaîne_du_bonheur,2024-02-15,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/apres-des-annees-de-galere-amanda-retrouve-confiance-a-la-fondation-quellenhof?urn=urn:rts:video:14704058,2022-01-01_2204_chaîne_du_bonheur.mxf,"Après des années de galère, Amanda retrouve confiance à la Fondation Quellenhof",2022-06-06_fondazione_quellenhof_-,2022-06-06_fondazione_quellenhof_-,,Fondazione Quellenhof - LIS,Giancarla Calitri
2022-01-27_haarschnitt_für_ein,2022-01-27_haarschnitt_für_ein,Marcos Denis,,Haarschnitt für ein neues Leben,2022-03-13_2212_kar_li,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/kar-li-coiffeurs-gratuits-pour-les-plus-demunis?urn=urn:rts:video:14528309,2022-03-13_2212_kar_li.mxf,KAR-LI - Coiffeurs gratuits pour les plus démunis,2022-02-26_kar-li_-_un,2022-02-26_kar-li_-_un,,Kar-li - Un taglio di capelli benefico - LIS,Angela Lunelio
2022-02-03_ghana_–_bildungschancen,2022-02-03_ghana_–_bildungschancen,Marcos Denis,,Ghana – Bildungschancen dank Microschools,2022-04-03_2215_opportunity_international,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/opportunity-international-se-former-au-ghana-grace-aux-micro-ecoles?urn=urn:rts:video:14528339,2022-04-03_2215_opportunity_international.mxf,OPPORTUNITY INTERNATIONAL - Se former au Ghana grâce aux micro-écoles,2022-02-12_opportunità_educative_grazie,2022-02-12_opportunità_educative_grazie,,Opportunità educative grazie alle microscuole in Ghana - LIS,Angela Lunelio
2022-02-10_bewegungsförderung_für_kinder,2022-02-10_bewegungsförderung_für_kinder,Sarah Caminada,,Bewegungsförderung für Kinder,2022-08-21_2227_idée_sport,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/ideesport-de-lactivite-physique--pour-les-enfants?urn=urn:rts:video:14528414,2022-08-21_2227_idée_sport.mxf,IDEESPORT - De l’activité physique pour les enfants,2022-05-07_idée_sport_-,2022-05-07_idée_sport_-,,Idée Sport - LIS,Angela Lunelio
2022-02-17_lehrabschluss_trotz_beeinträchtigung,2022-02-17_lehrabschluss_trotz_beeinträchtigung,Sarah Caminada,,Lehrabschluss trotz Beeinträchtigung,2022-05-08_2220_fondation_brunau,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/brunau-un-diplome-dapprentissage-malgre-le-handicap?urn=urn:rts:video:14528331,2022-05-08_2220_fondation_brunau.mxf,BRUNAU - Un diplôme d’apprentissage malgré le handicap,2022-08-13_fondazione_brunau_-,2022-08-13_fondazione_brunau_-,,Fondazione Brunau - LIS,Angela Lunelio
2022-02-24_brasilien_–_ein,2022-02-24_brasilien_–_ein,Barbara Rossier,,Brasilien – Ein Weg aus der Gewalt der Favelas,,,,,,,2022-04-23_don_bosco_-,2022-04-23_don_bosco_-,,Don Bosco - Brasile - LIS,Giancarla Calitri
2022-03-03_ein_neues_leben,2022-03-03_ein_neues_leben,Barbara Rossier,,Ein neues Leben für streunende Katzen,2022-05-03_kumea_recueille_les,2022-05-03_kumea_recueille_les,Adrien Pelletier,,2021_09_26_2147_Kumea,Kumea recueille les chats errants pour les soigner et leur offrir une vie meilleure.,,,,,
2022-03-10_unterstützung_für_flüchtlinge,2022-03-10_unterstützung_für_flüchtlinge,Marcos Denis,,Unterstützung für Flüchtlinge am Amazonas,,,,,,,2022-03-19_caritas_-_sostegno,2022-03-19_caritas_-_sostegno,,Caritas - Sostegno ai rifugiati venezuelani in Amazzonia - LIS,Angela Lunelio
2022-03-17_den_alltag_meistern,2022-03-17_den_alltag_meistern,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/den-alltag-meistern-trotz-gehoerlosigkeit?urn=urn:srf:video:143bb813-b3d3-4b92-bdf8-9ebfbcd7f5fa,Den Alltag meistern trotz Gehörlosigkeit,,,,,,,,,,,
2022-03-24_für_ein_leben,2022-03-24_für_ein_leben,Melanie Vogel,,Für ein Leben und Sterben in Würde,2022-08-14_2229_palliaviva,2022-08-14_2229_palliaviva,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/palliaviva-vivre-et-mourir-dans-la-dignite?urn=urn:rts:video:14528422,2022-08-14_2229_palliaviva.mxf,PALLIAVIVA - Vivre et mourir dans la dignité,,,,,
2022-03-31_brasilien_–_chancengleichheit,2022-03-31_brasilien_–_chancengleichheit,Rolf Perrollaz,,Brasilien – Chancengleichheit für afro-brasilianische Bevölkerung,,,,,,,2022-06-04_terres_des_hommes,2022-06-04_terres_des_hommes,,Terres des hommes (Brasile) LIS,Angela Lunelio
2022-04-07_alkoholsucht_–_der,2022-04-07_alkoholsucht_–_der,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/alkoholsucht---der-steinige-weg-zur-abstinenz?urn=urn:srf:video:7c5e42f7-4240-423a-94de-fcbcbfc2e1de,Alkoholsucht – Der steinige Weg zur Abstinenz,,,,,,,,,,,
2022-04-14_argentinien_–_eine,2022-04-14_argentinien_–_eine,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/argentinien---eine-oase-der-geborgenheit-im-armenviertel?urn=urn:srf:video:2aac965c-a099-48a3-a5f6-4799484dcbd3,Argentinien – Eine Oase der Geborgenheit im Armenviertel,,,,,,,2022-05-21_connexio_develop_(argentina),2022-05-21_connexio_develop_(argentina),,Connexio Develop (Argentina) - LIS,Angela Lunelio
2022-04-21_kunstatelier_für_begegnung,2022-04-21_kunstatelier_für_begegnung,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kunstatelier-fuer-begegnung-und-austausch-zwischen-den-kulturen?urn=urn:srf:video:12d0dd42-96a6-4921-b73f-0492f72322a4,Kunstatelier für Begegnung und Austausch zwischen den Kulturen,2022-09-04_2232_atelier_d'art,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/solinetz-lart-comme-pont-interculturel?urn=urn:rts:video:14528507,2022-09-04_2232_atelier_d'art.mxf,SOLINETZ - L’art comme pont interculturel,2022-06-18_fondazione_solinetz_-,2022-06-18_fondazione_solinetz_-,,Fondazione Solinetz - LIS,Giancarla Calitri
2022-04-28_kunsttherapie_für_betroffene,2022-04-28_kunsttherapie_für_betroffene,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kunsttherapie-fuer-betroffene-von-multipler-sklerose?urn=urn:srf:video:52f95a35-38bc-4262-a128-9523e2ed181b,Kunsttherapie für Betroffene von Multipler Sklerose,2022-02-06_2207_sclérose_en_plaques,,Adrien Pelletier,,2022-02-06_2207_sclérose_en_plaques.mxf,ENSEMBLE2207 - Sclérose en plaques avec LSF-2022-02-06,,,,,
2022-05-05_kenia_–_bildung,2022-05-05_kenia_–_bildung,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kenia---bildung-fuer-ein-leben-mit-perspektiven?urn=urn:srf:video:3e1fbc20-2abf-4bbe-a71d-5072bfa2cfc7,Kenia – Bildung für ein Leben mit Perspektiven,,,,,,,,,,,
2022-05-12_ein_warmer_platz,2022-05-12_ein_warmer_platz,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ein-warmer-platz-fuer-obdachlose?urn=urn:srf:video:5d7e2d24-79a1-4481-8851-94d7a3d117d5,Ein warmer Platz für Obdachlose,2022-04-17_2217_chaîne_du_bonheur,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/pfuusbus-une-oasis-de-chaleur-pour-les-sans-abri?urn=urn:rts:video:14528389,2022-04-17_2217_chaîne_du_bonheur.mxf,PFUUSBUS - Une oasis de chaleur pour les sans-abri,2022-10-29_catena_della_solidarietà,2022-10-29_catena_della_solidarietà,https://www.rsi.ch/play/tv/insieme-lis/video/catena-della-solidarieta-pfuusbus-aiuto-ai-senzatetto-lis?urn=urn:rsi:video:15685462,Catena della solidarietà - Pfuusbus - Aiuto ai senzatetto - LIS,Angela Lunelio
2022-05-19_kolumbien_–_emotionen,2022-05-19_kolumbien_–_emotionen,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kolumbien---emotionen-als-teil-der-berufsbildung?urn=urn:srf:video:2d245679-7869-4d06-a631-92958ece8750,Kolumbien – Emotionen als Teil der Berufsbildung,,,,,,,2022-07-09_vivamos_mejor_-,2022-07-09_vivamos_mejor_-,,Vivamos Mejor - LIS,Giancarla Calitri
2022-05-26_eine_wg_für,2022-05-26_eine_wg_für,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/eine-wg-fuer-ehemalige-strafgefangene?urn=urn:srf:video:808b0d49-53dc-410f-bca0-1222c10bb55f,Eine WG für ehemalige Strafgefangene,2022-09-18_2233_fondation_felber,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/felber-stiftung-un-logement-communautaire-pour-anciens-detenus?urn=urn:rts:video:14528474,2022-09-18_2233_fondation_felber.mxf,FELBER-STIFTUNG - Un logement communautaire pour anciens détenus,2022-07-02_fondazione_felber_-,2022-07-02_fondazione_felber_-,,Fondazione Felber - LIS,Giancarla Calitri
2022-06-09_mehr_raum_für,2022-06-09_mehr_raum_für,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/mehr-raum-fuer-biodiversitaet?urn=urn:srf:video:7782e535-0ca8-44b5-ae35-6e34dead00a6,Mehr Raum für Biodiversität,2023-04-16_2318_pro_natura,2023-04-16_2318_pro_natura,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/pro-natura-redonner-de-lespace?urn=urn:rts:video:14748394,2023-04-16_2318_pro_natura.mxf,PRO NATURA - Redonner de l’espace,,,,,
2022-06-16_kambodscha_–_ein,2022-06-16_kambodscha_–_ein,Melanie Vogel,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kambodscha---ein-velo-fuer-eine-bessere-zukunft?urn=urn:srf:video:ceee2202-9f38-43fc-a17c-4ada3bcb6b1b,Kambodscha – Ein Velo für eine bessere Zukunft,2022-10-09_2237_kamboo,,Adrien Pelletier,,2022-10-09_2237_kamboo.mxf,ENSEMBLE2237 - Kamboo - avec LSF - 9.10.22,"2022-12-31_kamboo,_aiuto_alla","2022-12-31_kamboo,_aiuto_alla",https://www.rsi.ch/play/tv/insieme-lis/video/kamboo-aiuto-alla-popolazione-cambogiana-lis?urn=urn:rsi:video:15885757,"Kamboo, aiuto alla popolazione cambogiana - LIS",Giancarla Calitri
2022-06-23_selbstverteidigungskurse_für_queers,2022-06-23_selbstverteidigungskurse_für_queers,Melanie Vogel,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/selbstverteidigungskurse-fuer-queers?urn=urn:srf:video:35d48440-cf7f-41bd-b8c4-86bba7615eee,Selbstverteidigungskurse für Queers,2240_pink_cross,,Azra Beslagic,,2240_pink_cross.mxf,ENSEMBLE2240 - Pink Cross,2022-07-30_pink_cross_svizzera,2022-07-30_pink_cross_svizzera,,Pink Cross Svizzera - LIS,Angela Lunelio
2022-06-30_wenn_berührung_schmerz,2022-06-30_wenn_berührung_schmerz,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/wenn-beruehrung-schmerz-bedeutet?urn=urn:srf:video:d9e879b6-dc49-435f-a12d-62f508eac0fd,Wenn Berührung Schmerz bedeutet,2246_schmetterlingskinder,,Azra Beslagic,,2246_schmetterlingskinder.mxf,ENSEMBLE2246 - Schmetterlingskinder,,,,,
2022-07-07_polen_–_unterstützung,2022-07-07_polen_–_unterstützung,Melanie Vogel,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/polen---unterstuetzung-fuer-gefluechtete-aus-der-ukraine?urn=urn:srf:video:d9701b8e-e215-45f8-aa3b-acc20c7f9a7f,Polen – Unterstützung für Geflüchtete aus der Ukraine,,,,,,,2022-08-06_catena_della_solidarietà,2022-08-06_catena_della_solidarietà,,Catena della Solidarietà - Caritas Polonia - LIS,Angela Lunelio
2022-07-18_ein_erfülltes_leben,2022-07-18_ein_erfülltes_leben,Melanie Vogel,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ein-erfuelltes-leben-trotz-autismus?urn=urn:srf:video:b8c3d86b-a1a6-4fe7-98b5-3bc17e13d5e3,Ein erfülltes Leben trotz Autismus,,,,,,,,2022-12-17_fondazione_bambino_e,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-bambino-e-autismo-lis?urn=urn:rsi:video:15757921,Fondazione bambino e autismo - LIS,Luca Marra
2022-07-25_ex-sträflinge_leisten_präventionsarbeit,2022-07-25_ex-sträflinge_leisten_präventionsarbeit,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ex-straeflinge-leisten-praeventionsarbeit?urn=urn:srf:video:8267d0b8-a2c0-4075-b71f-b58300593a80,Ex-Sträflinge leisten Präventionsarbeit,,,,,,,2022-08-27_i_detenuti_aiutano,2022-08-27_i_detenuti_aiutano,,I detenuti aiutano i giovani - Prevenzione della criminalità giovanile - LIS,Luca Marra
